2017-08-06 17:48:27.902075|INFO    |VirtualServerBase|1  |client disconnected 'Bob6'(id:367) reason 'reasonmsg=Verlassen'
2017-08-06 21:19:48.117112|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-06 23:30:43.546970|INFO    |PktHandler    |1  |Dropping client 3 because of ping timeout 19 0 0
2017-08-06 23:30:43.547049|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=connection lost'
2017-08-06 23:46:41.710207|INFO    |VirtualServer |1  |query client connected 'Unknown from 1.1.1.1:111'(id:73)
2017-08-06 23:46:41.711583|INFO    |VirtualServerBase|1  |query client disconnected 'Scriptie'(id:73) reason 'reasonmsg=disconnecting'
2017-08-07 07:25:16.089743|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-07 10:57:37.234223|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-07 16:35:48.194805|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-07 16:37:03.435950|INFO    |VirtualServerBase|1  |client connected 'Bob1'(id:307) from 1.1.1.1:111
2017-08-07 17:43:54.077346|INFO    |VirtualServerBase|1  |client disconnected 'Bob1'(id:307) reason 'reasonmsg=leaving'
2017-08-07 17:55:42.090536|INFO    |VirtualServerBase|1  |client disconnected 'Bob'(id:358) reason 'reasonmsg=leaving'
2017-08-07 22:12:30.139121|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-08 00:21:48.595052|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2017-08-08 00:21:48.595124|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=connection lost'
2017-08-08 08:39:49.276242|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-08 08:44:29.566184|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-08 08:48:21.339455|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-08 12:51:12.062946|INFO    |PktHandler    |1  |Dropping client 1 because of ping timeout 19 0 0
2017-08-08 12:51:12.063029|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=connection lost'
2017-08-08 12:51:18.339834|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-08 13:09:48.617504|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-08 19:25:48.610912|INFO    |VirtualServerBase|1  |client connected 'Bob5'(id:332) from 1.1.1.1:111
2017-08-08 19:32:56.545853|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-08 19:33:48.686996|INFO    |VirtualServerBase|1  |client connected 'Bob1'(id:307) from 1.1.1.1:111
2017-08-08 20:25:13.001109|INFO    |VirtualServerBase|1  |client connected 'friend42'(id:10) from 1.1.1.1:111
2017-08-08 20:32:05.898377|INFO    |VirtualServerBase|1  |client disconnected 'friend42'(id:10) reason 'reasonmsg=Verlassen'
2017-08-08 20:50:27.021319|INFO    |PktHandler    |1  |Dropping client 6 because of ping timeout 19 0 0
2017-08-08 20:50:27.021398|INFO    |VirtualServerBase|1  |client disconnected 'Bob5'(id:332) reason 'reasonmsg=connection lost'
2017-08-08 20:50:34.930447|INFO    |VirtualServerBase|1  |client connected 'Bob5'(id:332) from 1.1.1.1:111
2017-08-08 21:03:52.643132|INFO    |VirtualServerBase|1  |client disconnected 'Bob'(id:358) reason 'reasonmsg=leaving'
2017-08-08 21:03:56.014665|INFO    |VirtualServerBase|1  |client disconnected 'Bob1'(id:307) reason 'reasonmsg=leaving'
2017-08-08 21:04:07.224365|INFO    |VirtualServerBase|1  |client disconnected 'Bob5'(id:332) reason 'reasonmsg=leaving'
2017-08-08 21:57:02.508103|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=I'll be back!'
2017-08-09 02:05:37.990343|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2017-08-09 02:05:37.990430|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=connection lost'
2017-08-09 09:18:49.858934|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-09 10:39:08.694845|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-09 14:42:18.138087|INFO    |VirtualServerBase|1  |client connected 'Bob5'(id:332) from 1.1.1.1:111
2017-08-09 14:43:03.095887|INFO    |VirtualServerBase|1  |client disconnected 'Bob5'(id:332) reason 'reasonmsg=leaving'
2017-08-09 14:43:12.028115|INFO    |VirtualServerBase|1  |client connected 'Bob5'(id:332) from 1.1.1.1:111
2017-08-09 14:43:43.704152|INFO    |VirtualServerBase|1  |client disconnected 'Bob5'(id:332) reason 'reasonmsg=leaving'
2017-08-09 15:42:22.788351|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-09 15:42:34.604124|INFO    |VirtualServerBase|1  |client disconnected 'Bob'(id:358) reason 'reasonmsg=leaving'
2017-08-09 15:42:47.329410|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-09 15:43:42.981927|INFO    |VirtualServerBase|1  |client disconnected 'Bob'(id:358) reason 'reasonmsg=leaving'
2017-08-09 17:41:03.855036|INFO    |VirtualServerBase|1  |client connected 'friend42'(id:10) from 1.1.1.1:111
2017-08-09 18:40:12.245040|INFO    |VirtualServerBase|1  |client connected 'Bob5'(id:332) from 1.1.1.1:111
2017-08-09 18:40:15.440370|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-09 18:49:42.907255|INFO    |PktHandler    |1  |Dropping client 5 because of ping timeout 19 0 0
2017-08-09 18:49:42.911466|INFO    |VirtualServerBase|1  |client disconnected 'Bob5'(id:332) reason 'reasonmsg=connection lost'
2017-08-09 18:49:51.988487|INFO    |VirtualServerBase|1  |client connected 'Bob5'(id:332) from 1.1.1.1:111
2017-08-09 20:22:59.195240|INFO    |VirtualServerBase|1  |client disconnected 'Bob'(id:358) reason 'reasonmsg=leaving'
2017-08-09 20:22:59.825160|INFO    |VirtualServerBase|1  |client disconnected 'Bob5'(id:332) reason 'reasonmsg=leaving'
2017-08-09 21:03:00.193462|INFO    |VirtualServerBase|1  |client disconnected 'friend42'(id:10) reason 'reasonmsg=Verlassen'
2017-08-09 22:08:47.060778|INFO    |VirtualServerBase|1  |client connected 'MyName1'(id:2) from 1.1.1.1:111
2017-08-09 22:08:47.116104|INFO    |VirtualServerBase|1  |client connected 'friend-too1'(id:3) from 1.1.1.1:111
2017-08-09 22:09:07.147056|INFO    |PktHandler    |1  |Cleaning up connection because of 13 resends of COMMAND packet
2017-08-09 22:09:07.147107|INFO    |PktHandler    |1  |Dropping client 3 because of resend timeout
2017-08-09 22:09:07.147143|INFO    |VirtualServerBase|1  |client disconnected 'MyName'(id:2) reason 'reasonmsg=connection lost'
2017-08-09 22:09:10.150289|INFO    |PktHandler    |1  |Cleaning up connection because of 14 resends of COMMAND packet
2017-08-09 22:09:10.912992|INFO    |PktHandler    |1  |Dropping client 1 because of resend timeout
2017-08-09 22:09:10.913046|INFO    |VirtualServerBase|1  |client disconnected 'friend-too'(id:3) reason 'reasonmsg=connection lost'
2017-08-09 22:21:24.033990|INFO    |PktHandler    |1  |Dropping client 4 because of ping timeout 19 0 0
2017-08-09 22:21:24.034050|INFO    |VirtualServerBase|1  |client disconnected 'MyName1'(id:2) reason 'reasonmsg=connection lost'
2017-08-10 00:01:27.291406|INFO    |PktHandler    |1  |Dropping client 5 because of ping timeout 19 0 0
2017-08-10 00:01:27.291483|INFO    |VirtualServerBase|1  |client disconnected 'friend-too1'(id:3) reason 'reasonmsg=connection lost'
2017-08-10 09:38:18.598864|INFO    |VirtualServerBase|1  |client connected 'friend-too'(id:3) from 1.1.1.1:111
2017-08-10 15:12:33.654118|INFO    |VirtualServerBase|1  |client connected 'Bob5'(id:332) from 1.1.1.1:111
2017-08-10 15:13:42.986071|INFO    |VirtualServerBase|1  |client connected 'Bob1'(id:307) from 1.1.1.1:111
2017-08-10 15:14:19.880137|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-10 16:04:23.842943|INFO    |VirtualServerBase|1  |client disconnected 'Bob5'(id:332) reason 'reasonmsg=leaving'
2017-08-10 16:44:34.400385|INFO    |VirtualServerBase|1  |client disconnected 'Bob1'(id:307) reason 'reasonmsg=leaving'
2017-08-10 16:44:36.303352|INFO    |VirtualServerBase|1  |client disconnected 'Bob'(id:358) reason 'reasonmsg=leaving'
2017-08-10 16:47:24.609068|INFO    |VirtualServerBase|1  |client connected 'MyName'(id:2) from 1.1.1.1:111
2017-08-10 17:26:41.252773|INFO    |VirtualServerBase|1  |client connected 'Bob'(id:358) from 1.1.1.1:111
2017-08-10 18:51:55.113664|INFO    |VirtualServerBase|1  |client connected 'friend4'(id:351) from 1.1.1.1:111
